store_name,store_location
AJ's Liquor III,POINT (-93.648959 42.021456)
AJ's Liquor III,
Ambysure Inc / Clinton,POINT (-90.225022 41.833351)
Ambysure Inc / Clinton,
Bancroft Liquor Store,POINT (-94.218 43.29355)
Bancroft Liquor Store,
Bani's,POINT (-92.455801 42.518018000000005)
Bani's / Cedar Falls,POINT (-92.455801 42.518018000000005)
Bani's / Cedar Falls,
Barrys Mini Mart,POINT (-91.38553 43.050183)
Baxter Family Market,POINT (-93.151465 41.826715)
Beecher Liquor / Dubuque,POINT (-90.696886 42.500775000000004)
Beer on Floyd / Sioux City,POINT (-96.372185 42.531448000000005)
Beer Thirty Denison,POINT (-95.360162 42.012412)
Beer Thirty Storm Lake / Storm Lake,POINT (-95.198584 42.646794)
Beer Thirty Storm Lake / Storm Lake,POINT (-95.19941700000001 42.647498)
Beer Thirty Storm Lake / Storm Lake,
